index,subject_id,group,block,trial_in_block,trial_coherence,trial_perturb,trial_type,reach_dur,reach_rt,trial_directions,trial_target,aim_target,reach_target,aim_real_angle,reach_real_angle,true_target_angle,coh_cat,perturb_cat,reach_sub_perturb,aim_sub_perturb
14,sub-144,0,3,14,0.2445227784574177,-0.5235987755982988,1,0.1000326001085341,0.4167748303152621,-1,1,-22.491226707448803,-21.29839015959965,67.5087732925512,68.70160984040035,90.0,low,-30.0,8.701609840400351,7.508773292551197
15,sub-144,0,3,15,0.3667841676861265,-0.5235987755982988,1,0.0583567768335342,0.4500935743562877,1,3,-12.14329730088549,-18.12034926641017,17.856702699114507,11.879650733589829,30.0,med,-30.0,11.87965073358983,17.85670269911451
16,sub-144,0,3,16,0.2445227784574177,-0.5235987755982988,1,inf,0.6668122597038746,-1,2,-16.324660075952472,-21.830778169487587,43.67533992404752,38.169221830512406,59.99999999999999,low,-30.0,8.169221830512413,13.675339924047528
17,sub-144,0,3,17,0.3667841676861265,-0.5235987755982988,1,,,1,1,,,,,90.0,med,-30.0,,
18,sub-144,0,3,18,0.4890455569148354,-0.5235987755982988,1,0.0417032917030155,0.491795658133924,-1,3,-10.358096685920248,-20.86070155611717,19.641903314079748,9.139298443882826,30.0,high,-30.0,9.13929844388283,19.64190331407975
19,sub-144,0,3,19,0.3667841676861265,-0.5235987755982988,1,0.0916936323046684,0.5334708774462342,-1,1,-9.791597765497857,-7.301205087344343,80.20840223450215,82.69879491265566,90.0,med,-30.0,22.698794912655657,20.208402234502145
20,sub-144,0,3,20,0.0,-0.5235987755982988,1,0.1000410518608987,0.5001288908533752,0,2,-16.10632133765256,-15.979842972765312,43.89367866234743,44.02015702723468,59.99999999999999,zero,-30.0,14.020157027234688,13.89367866234744
21,sub-144,0,3,21,0.3667841676861265,-0.5235987755982988,1,0.0666878968477249,0.4251150055788457,-1,1,5.546030766428856,-10.324951257985076,95.54603076642886,79.67504874201492,90.0,med,-30.0,19.675048742014923,35.546030766428856
22,sub-144,0,3,22,0.2445227784574177,-0.5235987755982988,1,0.0416610320098698,0.4834262034855783,1,3,-7.809017967497539,-16.863853082097414,22.190982032502458,13.136146917902582,30.0,low,-30.0,13.136146917902586,22.19098203250246
23,sub-144,0,3,23,0.4890455569148354,-0.5235987755982988,1,0.2250760667957365,0.500108364969492,1,2,-2.13344619644581,-13.969505142856832,57.86655380355418,46.03049485714316,59.99999999999999,high,-30.0,16.030494857143168,27.86655380355419
24,sub-144,0,3,24,0.0,-0.5235987755982988,1,0.0333619085140526,0.3750878390856087,0,3,-17.616026235271175,-23.84373472988844,12.383973764728822,6.156265270111557,30.0,zero,-30.0,6.156265270111561,12.383973764728825
25,sub-144,0,3,25,0.2445227784574177,-0.5235987755982988,1,0.0666124341078102,0.5168774598278105,1,2,-47.61602623527117,-42.478130742979445,12.383973764728822,17.52186925702055,59.99999999999999,low,-30.0,-12.478130742979445,-17.61602623527117
26,sub-144,0,3,26,0.2445227784574177,-0.5235987755982988,1,0.2667983747087419,0.5084385792724788,1,1,5.546030766428856,-2.3869374380368384,95.54603076642886,87.61306256196316,90.0,low,-30.0,27.61306256196316,35.546030766428856
27,sub-144,0,3,27,0.3667841676861265,-0.5235987755982988,1,0.0333552677184343,0.9335973532870412,-1,3,-15.239149325016587,-22.247675870811776,14.76085067498341,7.752324129188219,30.0,med,-30.0,7.752324129188224,14.760850674983413
28,sub-144,0,3,28,0.4890455569148354,-0.5235987755982988,1,0.033339571673423,0.4167808671481907,1,3,-14.235328066518614,-22.247675870811776,15.764671933481385,7.752324129188219,30.0,high,-30.0,7.752324129188224,15.764671933481386
29,sub-144,0,3,29,0.4890455569148354,-0.5235987755982988,1,0.0583492312580347,0.4751325128600001,-1,2,-37.80901796749754,-42.478130742979445,22.190982032502458,17.52186925702055,59.99999999999999,high,-30.0,-12.478130742979445,-7.809017967497539
30,sub-144,0,3,30,0.2445227784574177,-0.5235987755982988,1,0.1833869623951614,0.4667615490034222,-1,1,5.2310025552486366,-0.0029853990965591,95.23100255524864,89.99701460090344,90.0,low,-30.0,29.99701460090344,35.23100255524864
31,sub-144,0,3,31,0.2445227784574177,-0.5235987755982988,1,0.0750241479836404,0.5584907997399569,-1,1,1.8538252328335572,-11.269322638226145,91.85382523283356,78.73067736177386,90.0,low,-30.0,18.730677361773857,31.853825232833557
32,sub-144,0,3,32,0.3667841676861265,-0.5235987755982988,1,0.0500114704482257,0.6418237304314971,1,3,-7.61817499648642,-14.453522642627831,22.381825003513576,15.546477357372163,30.0,med,-30.0,15.546477357372169,22.38182500351358
33,sub-144,0,3,33,0.2445227784574177,-0.5235987755982988,1,0.0832912749610841,0.5001669246703386,-1,2,-14.120861649393817,-29.02306754174858,45.879138350606176,30.97693245825141,59.99999999999999,low,-30.0,0.9769324582514187,15.879138350606183
34,sub-144,0,3,34,0.3667841676861265,-0.5235987755982988,1,0.0833341381512582,0.583511627279222,1,2,-21.05704296232237,-32.865747489663285,38.94295703767762,27.134252510336708,59.99999999999999,med,-30.0,-2.865747489663285,8.94295703767763
35,sub-144,0,3,35,0.4890455569148354,-0.5235987755982988,1,0.1083694552071392,0.4834470306523144,-1,1,-5.577605106657543,-5.553299637837554,84.42239489334246,84.44670036216245,90.0,high,-30.0,24.446700362162446,24.422394893342457
36,sub-144,0,3,36,0.3667841676861265,-0.5235987755982988,1,0.075013583060354,0.4834741977974772,1,2,-21.05704296232237,-32.865747489663285,38.94295703767762,27.134252510336708,59.99999999999999,med,-30.0,-2.865747489663285,8.94295703767763
37,sub-144,0,3,37,0.3667841676861265,-0.5235987755982988,1,0.0500087537802755,0.5334757068194449,-1,2,-24.0321566991994,-38.89351948121331,35.967843300800595,21.10648051878668,59.99999999999999,med,-30.0,-8.89351948121331,5.967843300800599
38,sub-144,0,3,38,0.4890455569148354,-0.5235987755982988,1,0.1000335058197379,0.4667914318852126,1,1,-22.491226707448803,-13.650066884317908,67.5087732925512,76.34993311568209,90.0,high,-30.0,16.34993311568209,7.508773292551197
39,sub-144,0,3,39,0.4890455569148354,-0.5235987755982988,1,0.041705404408276,0.5001340224407613,-1,3,-20.03741740038228,-25.292540440456904,9.962582599617711,4.707459559543092,30.0,high,-30.0,4.707459559543096,9.962582599617718
40,sub-144,0,3,40,0.0,-0.5235987755982988,1,0.0500175077468156,0.4417639635503292,0,2,-45.23914932501658,-49.56181836717101,14.76085067498341,10.438181632828975,59.99999999999999,zero,-30.0,-19.561818367171007,-15.239149325016577
41,sub-144,0,3,41,0.2445227784574177,-0.5235987755982988,1,0.0583655308000743,0.5418146750889719,1,3,-12.14329730088549,-19.88067857926808,17.856702699114507,10.11932142073192,30.0,low,-30.0,10.119321420731922,17.85670269911451
42,sub-144,0,3,42,0.3667841676861265,-0.5235987755982988,1,0.1500069424510002,0.6002091839909554,-1,1,-0.0066161407919622,-3.973156178226191,89.99338385920804,86.02684382177381,90.0,med,-30.0,26.02684382177381,29.993383859208038
43,sub-144,0,3,43,0.4890455569148354,-0.5235987755982988,1,0.0833244789391756,0.5585572072304785,-1,1,12.065139698355864,5.478689354701757,102.06513969835586,95.47868935470176,90.0,high,-30.0,35.47868935470176,42.065139698355864
44,sub-144,0,3,44,0.0,-0.5235987755982988,1,0.1166791431605815,0.7668681023642421,0,1,-34.90607738951226,-20.7796338859084,55.09392261048774,69.2203661140916,90.0,zero,-30.0,9.2203661140916,-4.906077389512262
45,sub-144,0,3,45,0.4890455569148354,-0.5235987755982988,1,0.0666857841424644,0.4001083648763597,1,2,-45.91316743616439,-51.411729146389646,14.086832563835598,8.588270853610348,59.99999999999999,high,-30.0,-21.411729146389646,-15.913167436164393
46,sub-144,0,3,46,0.2445227784574177,-0.5235987755982988,1,0.0666709933429956,0.6251868465915322,-1,3,-7.809017967497539,-15.806685624784269,22.190982032502458,14.19331437521573,30.0,low,-30.0,14.193314375215731,22.19098203250246
47,sub-144,0,3,47,0.0,-0.5235987755982988,1,0.1000434667803347,0.5168080339208245,0,2,-32.20637362824316,-34.337148654838245,27.79362637175684,25.662851345161748,59.99999999999999,zero,-30.0,-4.337148654838245,-2.2063736282431634
48,sub-144,0,3,48,0.2445227784574177,-0.5235987755982988,1,0.0916830673813819,0.5584977422840893,1,1,-0.006994113675347,-2.509165061940521,89.99300588632465,87.49083493805948,90.0,low,-30.0,27.49083493805948,29.993005886324653
49,sub-144,0,3,49,0.4890455569148354,-0.5235987755982988,1,0.0917494748719036,0.6668548211455345,1,1,-23.78494423141392,-13.650066884317908,66.21505576858608,76.34993311568209,90.0,high,-30.0,16.34993311568209,6.21505576858608
50,sub-144,0,3,50,0.3667841676861265,-0.5235987755982988,1,0.0416444302536547,0.4334778198972344,-1,3,-23.320942102873857,-21.668358283639478,6.679057897126137,8.331641716360522,30.0,med,-30.0,8.331641716360522,6.6790578971261425
51,sub-144,0,3,51,0.4890455569148354,-0.5235987755982988,1,0.0333099900744855,0.3500815001316368,-1,3,-13.194772404857666,-20.60036516855461,16.80522759514233,9.399634831445386,30.0,high,-30.0,9.39963483144539,16.805227595142334
52,sub-144,0,3,52,0.4890455569148354,-0.5235987755982988,1,0.033338364213705,0.7918771579861641,1,3,-34.12178385091427,-24.336804719860798,-4.12178385091427,5.663195280139203,30.0,high,-30.0,5.6631952801392025,-4.1217838509142695
53,sub-144,0,3,53,0.3667841676861265,-0.5235987755982988,1,0.07498822780326,0.6335369828157127,1,1,19.603997974934916,11.331115647504276,109.60399797493491,101.33111564750428,90.0,med,-30.0,41.33111564750428,49.60399797493491
54,sub-144,0,3,54,0.4890455569148354,-0.5235987755982988,1,0.0500015094876289,0.4918062230572104,-1,2,-48.418760548058565,-51.66835828363947,11.581239451941428,8.331641716360522,59.99999999999999,high,-30.0,-21.66835828363947,-18.418760548058565
55,sub-144,0,3,55,0.2445227784574177,-0.5235987755982988,1,0.0666652577929198,0.5585046848282218,1,2,-39.15776445569682,-36.67222923994342,20.84223554430317,23.327770760056573,59.99999999999999,low,-30.0,-6.6722292399434195,-9.157764455696821
0,sub-144,0,4,0,0.2445227784574177,-0.5235987755982988,1,0.0666836709715426,0.3331249547190964,-1,1,-19.30793839454049,-24.794486838520456,70.69206160545951,65.20551316147954,90.0,low,-30.0,5.205513161479544,10.69206160545951
1,sub-144,0,4,1,0.4890455569148354,-0.5235987755982988,1,0.0666909152641892,0.3916552970185876,-1,2,-47.61602623527117,-38.43071133697052,12.383973764728822,21.56928866302948,59.99999999999999,high,-30.0,-8.430711336970518,-17.61602623527117
2,sub-144,0,4,2,0.3667841676861265,-0.5235987755982988,1,inf,-inf,1,1,,,140.69656266365232,119.67981445029386,90.0,med,-30.0,,
3,sub-144,0,4,3,0.4890455569148354,-0.5235987755982988,1,0.0583465141244232,0.5083757936954498,1,2,-42.143297300885486,-48.70761485142559,17.856702699114507,11.292385148574402,59.99999999999999,high,-30.0,-18.70761485142559,-12.143297300885486
4,sub-144,0,4,4,0.2445227784574177,-0.5235987755982988,1,0.1500446740537881,0.5834871772676706,-1,1,-27.212007760801058,-17.67868098161037,62.78799223919894,72.32131901838963,90.0,low,-30.0,12.32131901838963,2.7879922391989425
5,sub-144,0,4,5,0.0,-0.5235987755982988,1,0.0666981600224971,0.708548151422292,0,1,-0.006994113675347,-4.342541605408826,89.99300588632465,85.65745839459117,90.0,zero,-30.0,25.657458394591174,29.993005886324653
6,sub-144,0,4,6,0.0,-0.5235987755982988,1,0.0416845767758786,0.4834425030276179,0,3,-16.125152667193902,-21.411729146389646,13.874847332806093,8.588270853610348,30.0,zero,-30.0,8.588270853610354,13.874847332806098
7,sub-144,0,4,7,0.3667841676861265,-0.5235987755982988,1,0.1000329018570482,0.5335061936639249,1,1,-0.0074178895899734,-4.176159901365821,89.99258211041003,85.82384009863418,90.0,med,-30.0,25.82384009863418,29.992582110410027
8,sub-144,0,4,8,0.0,-0.5235987755982988,1,0.1000166018493473,0.5835113255307078,0,2,-16.324660075952472,-18.136358368332573,43.67533992404752,41.86364163166742,59.99999999999999,zero,-30.0,11.863641631667427,13.675339924047528
9,sub-144,0,4,9,0.2445227784574177,-0.5235987755982988,1,0.1000280724838376,0.6001789984293282,-1,1,6.966572226732609,-2.3869374380368384,96.9665722267326,87.61306256196316,90.0,low,-30.0,27.61306256196316,36.96657222673261
10,sub-144,0,4,10,0.2445227784574177,-0.5235987755982988,1,0.0666670692153275,0.6335430196486413,1,2,-18.703058411797088,-30.272105868250165,41.296941588202905,29.727894131749828,59.99999999999999,low,-30.0,-0.2721058682501649,11.296941588202912
11,sub-144,0,4,11,0.2445227784574177,-0.5235987755982988,1,0.050004226155579,0.6501373425126076,-1,2,-18.704036918840245,-25.466384637835205,41.29596308115975,34.53361536216479,59.99999999999999,low,-30.0,4.533615362164795,11.295963081159755
12,sub-144,0,4,12,0.3667841676861265,-0.5235987755982988,1,0.0584153365343809,0.7085396996699274,1,2,-37.80901796749754,-43.67781499683339,22.190982032502458,16.322185003166602,59.99999999999999,med,-30.0,-13.67781499683339,-7.809017967497539
13,sub-144,0,4,13,0.0,-0.5235987755982988,1,0.0750099611468613,0.5084527661092579,0,2,1.1049867314627733,-11.587923534054362,61.104986731462766,48.41207646594563,59.99999999999999,zero,-30.0,18.41207646594564,31.104986731462773
14,sub-144,0,4,14,0.0,-0.5235987755982988,1,0.0416821613907814,0.4500932726077735,0,3,-22.848517343320346,-26.857766996134096,7.151482656679651,3.1422330038659,30.0,zero,-30.0,3.142233003865904,7.151482656679654
15,sub-144,0,4,15,0.2445227784574177,-0.5235987755982988,1,,,1,3,,,,,30.0,low,-30.0,,
16,sub-144,0,4,16,0.0,-0.5235987755982988,1,0.0833899807184934,0.4751165150664747,0,1,-12.159805317327296,-21.29839015959965,77.8401946826727,68.70160984040035,90.0,zero,-30.0,8.701609840400351,17.840194682672703
17,sub-144,0,4,17,0.4890455569148354,-0.5235987755982988,1,0.0916990656405687,0.5751599813811481,1,1,-48.703058411797095,-26.51942711759734,41.296941588202905,63.48057288240266,90.0,high,-30.0,3.4805728824026616,-18.703058411797095
18,sub-144,0,4,18,0.4890455569148354,-0.5235987755982988,1,0.0750413537025451,0.5584723865613341,1,2,-16.324660075952472,-14.810213029624784,43.67533992404752,45.18978697037521,59.99999999999999,high,-30.0,15.189786970375216,13.675339924047528
19,sub-144,0,4,19,0.2445227784574177,-0.5235987755982988,1,0.066680350806564,0.4500984037294984,-1,2,-37.80901796749754,-45.0303714169718,22.190982032502458,14.969628583028188,59.99999999999999,low,-30.0,-15.030371416971803,-7.809017967497539
20,sub-144,0,4,20,0.4890455569148354,-0.5235987755982988,1,0.0750347129069268,0.5584838567301631,-1,2,14.516162426144229,4.929341454308407,74.51616242614422,64.9293414543084,59.99999999999999,high,-30.0,34.92934145430841,44.51616242614423
21,sub-144,0,4,21,0.3667841676861265,-0.5235987755982988,1,0.0583513439632952,0.4751325133256614,-1,3,-17.273569863265266,-22.247675870811776,12.726430136734733,7.752324129188219,30.0,med,-30.0,7.752324129188224,12.726430136734734
22,sub-144,0,4,22,0.4890455569148354,-0.5235987755982988,1,0.0416824636049568,0.5835345680825412,1,3,-13.68228268964608,-21.139446450283245,16.317717310353917,8.860553549716752,30.0,high,-30.0,8.860553549716755,16.31771731035392
23,sub-144,0,4,23,0.3667841676861265,-0.5235987755982988,1,0.1083561731502413,0.4251222503371537,-1,1,-40.87036235423033,-21.84241483953845,49.12963764576967,68.15758516046155,90.0,med,-30.0,8.15758516046155,-10.87036235423033
24,sub-144,0,4,24,0.3667841676861265,-0.5235987755982988,1,0.0750501072034239,0.4667863007634878,-1,2,-34.79628726644478,-26.466940276252103,25.20371273355521,33.53305972374789,59.99999999999999,med,-30.0,3.533059723747897,-4.796287266444779
25,sub-144,0,4,25,0.3667841676861265,-0.5235987755982988,1,0.0416655601002275,0.5001584719866514,1,3,-17.616026235271175,-24.336804719860798,12.383973764728822,5.663195280139203,30.0,med,-30.0,5.6631952801392025,12.383973764728825
26,sub-144,0,4,26,0.4890455569148354,-0.5235987755982988,1,0.0333667383529245,0.4167739246040582,-1,3,-28.323109707857423,-23.46419958680215,1.6768902921425748,6.535800413197848,30.0,high,-30.0,6.535800413197851,1.676890292142577
27,sub-144,0,4,27,0.2445227784574177,-0.5235987755982988,1,0.0750513151288032,0.5584971383213997,1,2,-31.925519917892547,-34.93868796055219,28.07448008210745,25.06131203944781,59.99999999999999,low,-30.0,-4.938687960552187,-1.9255199178925473
28,sub-144,0,4,28,0.2445227784574177,-0.5235987755982988,1,0.0666888025589287,0.4667899226769805,-1,2,-18.703058411797088,-32.333031381065524,41.296941588202905,27.666968618934465,59.99999999999999,low,-30.0,-2.333031381065524,11.296941588202912
29,sub-144,0,4,29,0.3667841676861265,-0.5235987755982988,1,0.0749987927265465,0.6585572068579495,-1,1,5.2310025552486366,0.7649590783997695,95.23100255524864,90.76495907839976,90.0,med,-30.0,30.76495907839977,35.23100255524864
30,sub-144,0,4,30,0.3667841676861265,-0.5235987755982988,1,0.0333302142098546,0.4000884429551661,1,3,-13.194772404857666,-20.60036516855461,16.80522759514233,9.399634831445386,30.0,med,-30.0,9.39963483144539,16.805227595142334
31,sub-144,0,4,31,0.2445227784574177,-0.5235987755982988,1,0.0499927555210888,0.5668795728124678,1,3,-14.563072996635094,-20.86070155611717,15.436927003364902,9.139298443882826,30.0,low,-30.0,9.13929844388283,15.436927003364906
32,sub-144,0,4,32,0.2445227784574177,-0.5235987755982988,1,0.050015696324408,0.4417675859294832,1,1,9.199891436139694,3.26370231940399,99.1998914361397,93.263702319404,90.0,low,-30.0,33.26370231940399,39.199891436139694
33,sub-144,0,4,33,0.3667841676861265,-0.5235987755982988,1,0.0666797468438744,0.4334503514692187,1,2,-37.80901796749754,-39.06553004144497,22.190982032502458,20.934469958555024,59.99999999999999,med,-30.0,-9.065530041444973,-7.809017967497539
